path,filename,extension,is_raw,has_pair,date_time_original,camera_make,camera_model,lens_model,iso,f_number,shutter_speed,focal_length,sharpness_score,exposure_score,noise_score,composition_score,aesthetic_score,total_score,faces,burst_group,burst_size,burst_rank,burst_keep
archive\DSC00922.ARW,DSC00922.ARW,arw,true,true,2026:07:19 15:49:14,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,30,52.9,77.7,74.5,60.0,50.1,61.7,0,27,3,3,false
archive\DSC00922.JPG,DSC00922.JPG,jpg,false,true,2026:07:19 15:49:14,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,30,52.9,77.7,74.5,60.0,50.1,61.7,0,27,3,3,false
archive\DSC00923.ARW,DSC00923.ARW,arw,true,true,2026:07:19 15:50:57,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1600,4,1/250,34,63.0,91.3,35.2,60.0,47.1,61.6,0,0,,,
archive\DSC00923.JPG,DSC00923.JPG,jpg,false,true,2026:07:19 15:50:57,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1600,4,1/250,34,63.0,91.3,35.2,60.0,47.1,61.6,0,0,,,
archive\DSC00925.ARW,DSC00925.ARW,arw,true,true,2026:07:19 15:51:06,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,28,56.4,76.5,75.0,60.0,40.3,61.4,0,29,2,2,true
archive\DSC00925.JPG,DSC00925.JPG,jpg,false,true,2026:07:19 15:51:06,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,28,56.4,76.5,75.0,60.0,40.3,61.4,0,29,2,2,true
archive\DSC00926.ARW,DSC00926.ARW,arw,true,true,2026:07:19 15:51:07,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,28,55.8,77.3,74.9,60.0,41.7,61.5,0,29,2,1,true
archive\DSC00926.JPG,DSC00926.JPG,jpg,false,true,2026:07:19 15:51:07,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,28,55.8,77.3,74.9,60.0,41.7,61.5,0,29,2,1,true
archive\DSC00927.ARW,DSC00927.ARW,arw,true,true,2026:07:19 15:53:43,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,26,78.3,43.0,55.2,42.3,50.9,58.3,1,30,2,2,true
archive\DSC00927.JPG,DSC00927.JPG,jpg,false,true,2026:07:19 15:53:43,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,26,78.3,43.0,55.2,42.3,50.9,58.3,1,30,2,2,true
archive\DSC00928.ARW,DSC00928.ARW,arw,true,true,2026:07:19 15:53:44,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,26,77.4,42.6,55.8,60.0,52.0,60.8,0,30,2,1,true
archive\DSC00928.JPG,DSC00928.JPG,jpg,false,true,2026:07:19 15:53:44,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,26,77.4,42.6,55.8,60.0,52.0,60.8,0,30,2,1,true
archive\DSC00929.ARW,DSC00929.ARW,arw,true,true,2026:07:19 15:53:53,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,26,73.3,71.5,45.7,60.0,48.9,63.2,0,0,,,
archive\DSC00929.JPG,DSC00929.JPG,jpg,false,true,2026:07:19 15:53:53,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,26,73.3,71.5,45.7,60.0,48.9,63.2,0,0,,,
archive\DSC00930.ARW,DSC00930.ARW,arw,true,true,2026:07:19 15:54:56,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4,1/250,30,52.2,39.9,66.3,60.0,51.9,53.0,0,32,2,1,true
archive\DSC00930.JPG,DSC00930.JPG,jpg,false,true,2026:07:19 15:54:56,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4,1/250,30,52.2,39.9,66.3,60.0,51.9,53.0,0,32,2,1,true
archive\DSC00931.ARW,DSC00931.ARW,arw,true,true,2026:07:19 15:54:57,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4,1/250,30,48.5,39.6,66.8,60.0,50.9,51.6,0,32,2,2,true
archive\DSC00931.JPG,DSC00931.JPG,jpg,false,true,2026:07:19 15:54:57,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,800,4,1/250,30,48.5,39.6,66.8,60.0,50.9,51.6,0,32,2,2,true
archive\DSC00934.ARW,DSC00934.ARW,arw,true,true,2026:07:19 15:55:42,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,63.3,37.3,61.2,60.0,52.4,55.7,0,0,,,
archive\DSC00934.JPG,DSC00934.JPG,jpg,false,true,2026:07:19 15:55:42,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,63.3,37.3,61.2,60.0,52.4,55.7,0,0,,,
archive\DSC00936.ARW,DSC00936.ARW,arw,true,true,2026:07:19 15:55:50,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,61.6,37.2,56.7,60.0,53.6,54.5,0,34,2,2,true
archive\DSC00936.JPG,DSC00936.JPG,jpg,false,true,2026:07:19 15:55:50,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,61.6,37.2,56.7,60.0,53.6,54.5,0,34,2,2,true
archive\DSC00937.ARW,DSC00937.ARW,arw,true,true,2026:07:19 15:55:50,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,61.6,36.0,56.9,60.0,55.6,54.6,0,34,2,1,true
archive\DSC00937.JPG,DSC00937.JPG,jpg,false,true,2026:07:19 15:55:50,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,61.6,36.0,56.9,60.0,55.6,54.6,0,34,2,1,true
archive\DSC00938.ARW,DSC00938.ARW,arw,true,true,2026:07:19 15:58:17,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,29,46.6,32.9,83.1,60.0,44.0,50.9,0,0,,,
